name,review_title,review,date
KEITH P,Relaxing for business or pleasure,"We are frequent visitors to this hotel.  We start our travels in Sri Lanka from this hotel, staying here 2 or 3 times a year.  It is handy for money exchange and local shops.  The staff are always friendly and welcoming from opening the car door to closing it when you depart.  The rooms are comfortable if a little dated but everything we need is there.  When there is time for a swim the pool is clean and welcoming.  The pool attendants are always helpful in moving sunbeams around to search for shady spots.  It would be helpful if there were sun umbrellas close to the sun beds rather than only around the tables, though.  Tania De Mel books our rooms and always makes sure we have a good room in a position we prefer.  The housekeeping staff are discreet and efficient.  The best",Date of stay: February 2020
DeeWHY2020,"Great staff, restaurant, lobby and lounge. But the rooms need renovating","Lobby and exec lounge have been renovated and are great. Staff are warm, attentive and helpful. Breakfast offerings at Crave is excellent. However, the rooms are really lacking. Desperately need updating. As a Diamond, your exec benefits are great, but if you're just staying in your room, you'd probably consider somewhere else.",
Jayne,,,
Fred Runkel,Best Customer Service Ever,"I stayed at the Colombo Hilton in early/mid Feb. 2020 for a little over one week.  From the time I arrived at the hotel, I found the staff courteous and helpful in all aspects.  What most impressed me what they continual and consistent friendliness every time I arrived at the hotel, came down for breakfast, or departed.  This was also the time of the coronavirus, and all hotel personnel wore masks for protection.  This concern did not detract from their service to ensure that all of my needs were seen to.  The facilities are fine, but what sets this hotel apart from all others is their attention to their clients.  I stay at many hotels during the course of a year, and Hilton Colombo, you have been the friendliest that I have ever experienced!!  My hat's off to you!  Thank you.",Date of stay: February 2020
khosrowadeli,Excellent Experience Overall,Excellent facilities and service; had a great experience staying at Hilton Colombo. The staff were very professional and helpful. The executive lounge was particularly helpful and offered great service and an outstanding breakfast.,
Timothy,Service is good except the concierge,"The service from the guards, counter staff and room service are very good. Rooms furniture are old. The one experience that left a very bitter taste is the concierge. I have left instruction that my transport should be a sedan car and not van-like vehicles. And that’s what they did, gave me a van. Not once but multiple times when I stayed at the hotel over the years. It seems the concierge do not know how to take simple request.",Date of stay: February 2020
Cardiardaith,Central Colombo stop-over before touring Sri Lanka,"Good location in old fort district with intetesting historical buildings and close to Fort Train Station - a five minute walk but a busy, dense traffic route with uneven pavements if you have luggage so a taxi preferrable.  Old Dutch Hospital opposite has good eating places if you don't want to eat at hotel.  Agree with reviews that say rooms are a bit dated, noisy air con and not quite 5 star but have to commend the pool area and the gardens and the excellent Executive Lounge with charming service.  As a Gold Hilton Hons Member we were given an upgrade to Exec level and allocated a room on arrival at 8am after a long flight without additional charge.  Breakfast was on eof the nicest we've had in an Exec Lounge. Worth paying the extra for Exec room if you need to as Exec Lounge",Date of stay: February 2020
jnmcthomas,5 Star experience with personal touch,"We had a very pleasant stay, and looking forward to our next visit, to Colombo, SriSrila. Thanks to everyone at Hilton, especially to Zainab, Sachith, and Krishanth. Zainab made us feel like we are with family. How can we not visit them again?",
m0nm0nster,Manager Chamantha,I cannot thank this gentleman enough. He takes a great care of the tourists visiting Colombo. I came to him on sunday 16/02. Even though at first staff of the hotel informed me that they cannot help me he did few calls and he managed to solve my problem. He is very dedicated to what he does. When I was waiting in the lounge he came to me few times to make sure I know he didnt forgot about me. He and his team are absolutely fabulous. Thanks a lot and all the best Chamantha!,Date of stay: February 2020
lfuentes2020,Lock your luggages!,Nice location but the rooms are old and the security is an issue. The staff don't know how to handle issues especially when something disapear from your room. So lock your luggages as a box of tea is not a way to compensate your loss.,
Ken M,Business trip for an exhibition,The staff were extremely polite and professional. The rooms and facilities were all clean and well maintained. The gym is well equipped though perhaps a little dated but this did not detract from the condition of the equipment,Date of stay: February 2020
pkd2018,Great business hotel,Had a nice ocean facing room. Been in this hotel a dozen times. Like everything. The room is just right though I find the working desk badly designed. It has a sharp corner which can hurt. Other amenities good. Breakfast buffet is excellent. I always enjoy a bit of the live music in the lobby bar after a day's work. The Executive Lounge is well appointed and the service is excellent.,Date of stay: January 2020
Brandon H,Hilton Colombo stay,"I stayed four nights at the Hilton Colombo. The hotel was very nice, there was good security, and the staff was friendly and helpful at every turn. I didn’t eat in the main restaurant, but I had food and refreshments at the cafe and bar during my stay. Once again the service was great. Akalanka, from the hotel, went above and beyond checking in with me to make sure everything was going okay and sending me hand written notes.",
Stephen H,"Great Staff, very average rooms","Staff couldn't be nicer - which is just the typical Sri Lankan way.  Restaurant food is good for breakfast and dinner and once again waiting staff are just amazing.  Unfortunately the rooms are just a little 'tired and worn'.  I would suggest this is an adequate hotel if the location is convenient for your business needs, but would suggest you look further afield if the room itself is important to you.",Date of stay: February 2020
Mr & Mrs B,Excellent exec Lounge & fab pool etc,We stayed her for 2 nights and loved it. The exec lounge was one of the best and the pool superb for what is a city hotel. The room was a bit tired. If I were to stay again I would ask for a rear room as ours looked out over a noisy and very busy road. Staff were at attentive. Would definitely stay again albeit in a better room.,Date of stay: January 2020
Cudabkk,Good location,"Good location in the heart of the city.  A good selection of restaurants However the rooms and furniture old. Rooms need to be refurbished. Not 5 star standard at all. I stayed in a club suite and this just very average or below. Service, staff excellent. Very friendly and accommodating.",
Roy Jawaheer,,,
Tom Schoemann,Amazing staff,Very much enjoyed my many stays at the hotel.  The staff is the most polite and caring group I’ve experienced in my travels.  ManurI @ KAI and Ghana in the executive lounge stood out among the amazing people who worked at the hotel.,Date of stay: February 2020
Chathurika Subhani,,,
Radu I,,,
PS@1,Would definitely visit again,"Very good property, very friendly, professional and competent staff. Good internet and TV channels . The bathrooms could do with some newer fittings, but this did not detract from the overall experience at all. Would definitely stay there again.",
Naga,Good stay at Hilton,"Staying at Hilton Colombo is like going home. Familiar faces, Wonderful service and efficiency.   Despite the age of the property, it is well maintained. The executive lounge staff are attentive and courteous. Krishanta in particular. The concierge staff are very helpful.",
IRELANDSMAN,SUCH A TERRIBLE LOCATION FOR A SWIMMING POOL,I have had 3 recent stays at this hotel---in which the Sri Lankan Government has a stake. The lobby area and Executive Lounge have recently been upgraded and it shows--elegance. One of the most important issues in this hotel is the location of your room---if you are in the area of room 1 it is very noisy and in 25 a great pleasure. Rooms are pleasant but bathrooms are very old. The Executive Lounge is a delightful restful area where the staff are very kind under the care of a most professional hotelier --KRIS the manager. The swimming pool area is far from the main hotel requiring you to walk across the road using a bridge. Here the umbrellas are very limited and generally very few guests go there.,Date of stay: January 2020
KatR,,,
Neel1980,Good hotel excellent staff.,"The only issue with the hotel is rooms, they are getting old and definitely needs a refresh, the staff and food is very goood, may be the owners need to make a call to refresh the rooms, carpet and overall experience in rooms.",
Trail789294,worn out hotel,"I just checked into this hotel. Not 5 star material for sure. This is an old hotel, where the furniture in the rooms is all beaten up, shabby bathrooms and just everything is very blah. Do not waste your money.",Date of stay: January 2020
Frequent Traveler,,,
Katykats8,Shame on Hilton Brand,"Not what I expected, the hotel site said ocean view, what one got was a view of concrete jungle.  The most disappointing was the access to the gym. One has to go through a workout to get to the gym for a workout!!! The gym is across the road, one has to walk the entire length of the hotel, walk down, yes walk down 4 flights to reach a small puny gym outside of the hotel premises!! Can’t believe it’s the HILTON",Date of stay: January 2020
LarSab,Gracious & Dedicated Hospitality,"This is one of the finest Hiltons. Yes the rooms are a bit dated but the truly gracious staff at a very early check-in, the breakfast and executive lounge hospitality and a dedicated consierge, Mr. Radcliff, in his long efforts to locate a Sri Lankan unique ayurveda tea and essential to locate that one local shop in Colombo, were oustanding. Kudos to the staff and management!",Date of stay: January 2020
clarathattil,Hilton High Tea,Excellent and yummy food and a good spread. Went that way after some but was not disappointed. The place looks enchanting after the refurbishment. Lovely setting.The service was good.Keep it going !!! Clara Thattil.,Date of stay: January 2020
phait_lee,A Hilton hotel can't go wrong,"Stayed in Hilton Colombo for 2 nights.  It is an old hotel that needs to refurbish its rooms. But the rooms and beds are very clean and comfortable, which remains to be Hilton's great level of service.   The breakfast spread is vast and awesome....my favourite was the Sri Lankan dishes which include stringhoppers, egg hoppers, idli, dhal, po sambol etc. And there were also the western spread of eggs, bacon, baked beans and toast, and there was a section serving Chinese dishes e.g. dimsum and noodles. I could go on and on about the breakfast spread.  Had the dinner buffet on our final night there and at a price of LKR2,500 oer person, the spread was awesome. There were Sri Lankan dishes comprising curry and fresh seafood, Western meals of steak and pasta, and free flow of juices.",Date of stay: January 2020
SoozG,convenient location,"+ Beautiful hotel grounds.     Walking distance to dutch hospital though I wish the hotel had warned me that men on the street, not just around the hotel, would strike conversation, about working in the hotel, being an off duty police officer or tour operator, or with some sob story about tsunami victims and try to convince me to get into a tuktuk. DO NOT SPEAK TO PEOPLE ON THE STREET. Sad when you have like to get to know locals but these ones are after your money.   food really delicious. - the pool, gym and spa are on the other side of a road and accessible via a bridge.    gym looks dated   spa is a huge disappointment: Not to Hilton standard. Treatment was ok but spa  was just couple of tiny rooms.    room deco needs updating,",Date of stay: November 2019
Sam22213,"Excellent hotel, great service","I paid less than AUD250 and was treated like royalty. The staff are so accommodating and gave me early check-in and late check-out so I didn’t have to wait around the lobby until my airport transfer arrived at 8 pm. Great pool, great buffet  breakfast- I would definitely stay here again.",
NevskyNY,Nice Hotel with Excellent Breakfast,"Very nice location in Colombo.  The public areas are very nice.  The rooms need a refresh.  The breakfast is superb with lots of local food.  Executive Lounge is nice, but was not there for evening hors d'oeuvres. During the day, soft drinks and some fruit (as I remember).  Nice Diamond treatment.",
jlgayton,,,
Martibass,,,
AnnaDownUnder,Terrific stay in the heart of Colombo,"We stayed here for 9 nights towards the end of December and celebrated NYE and a wedding with friends. Really enjoyed staying here. As others have said, the hotel is a little dated however it is very clean and spacious and the service was terrific. Our Executive room was large and had a view of the pool and water. Executive lounge access was included - this is quite basic with soft drinks, tea and coffee provided throughout the day along with minimal snacks and fruit. Between 6-8pm they serve canapés and alcohol. Pool is a short stroll from hotel but not too onerous and whilst we were there was very quiet. Breakfast buffet substantial with loads of variety. Highly recommend.",Date of stay: December 2019
Rajitha P,Wedding function,"Hi , This is just to comment on the service that we got during our daughters wedding on 1st of Jan evening (Sudishni and Majintha)and I would like to thank all Hilton staff and specially the barman Channa who handled the entire function as a most trusted barman . I realised Channa is a barman as well as good trusted guy who can keep Hilton name to a better place .I have closely monitored his behaviour and he was very friendly with all the people who came to him and service given to all with no mood or attitude to anyone .He just show up his friendly face until the end of the party .  Again thanks for all and all the best for the New Year.  Cheers  Rajitha Ponweera",Date of stay: January 2020
Kumi08,Great buffet,Main restaurant of the hotel serves a variety of food and some great local food too. It has something for everyone. Indian Italian chinese Sri Lankan. There is also a good choice for vegetarians. Good service too,Date of stay: January 2020
202travel16,A great place,"Very friendly staff, great facilities, superb location. Stayed on Executive Floor, the supplement is well worthwhile given the great and diverse offerings provided in the Executive Lounge throughout the day.",Date of stay: January 2020
Joe,Excellent!!!,"The hotel was awesome- very secure/safe, clean rooms, beautiful decor, and a friendly staff.  Exceptionally noteworthy were the Executive Lounge staff.  Dilshan and Gayan were very professional, accommodating, and friendly. They deserve to be recognized and rewarded for their hard work and amazing efforts!",Date of stay: December 2019
MichaelF007,Excellent location in downtown Colombo!,Very well located in the Colombo business area. Friendly professional staff who are always warm and welcoming. Good food and other facilities. Rooms could be more modernized. Bathrooms were clean but needed some repair. Air conditioning was ok.,
Prakash B,Good efficient  hotel,"We stayed at Hilton Colombo for two nights during a family holiday in Sri Lanka. The hotel is located near the main business district and is closure to Galle sea face and Dutch hospital a nightlife and food centre. The service is very good and staff is very polite and friendly, our check in was smooth, rooms are not great but reasonable with sea view.  The food is good the Breakfast and dinner buffet was very elaborate, rooms service food was also good and portions generous. The hotel only proves luxury cars like Merc, Audi and Land Rover for transportation which are very costly.  Overall it is a good efficient hotel, we would recommend it to business traveller.",Date of stay: December 2019
Mohan Amarasuriya,,,
AMARPAL D,Manager Mr.Thushara at The Graze was great,"We checked in late night around 10 o'clock and reached for dinner at 10.30,the time for the dinner was almost over when Mr.Thushara helped us out .   We order a pizza and noodles, he arranged the table and served the food immediately by himself.The overall experience was great.  Thanks to Mr. THUSHARA and all staff.",Date of stay: December 2019
Soysa,Channa our bar tender was Amazing!,We attended an engagement party which was catered by Hilton and the service and food was excellent. A special mention to Channa the bar tender for his delicious blends of cocktails and level service! He was always very obliging and went out of his way to make sure our drinks were perfect and never forgot to tell us to enjoy our drink!,Date of stay: December 2019
Rohith W,Outdoor Engagement Party,Had the best time at an engagement party catered by Hilton. Food was top notch and the Barman Channa did an amazing job with keeping everyone’s drinks flowing throughout the night! The Mojitos and Passiontini were super! Keep it up!,Date of stay: December 2019
TravellerLK,The High Class Service,Out of all 5 stars in Colombo..Hilton is the only and most probably true classy service oriented well trained and well mannered as well as well groomed team members I saw. They are above all the rest of 5 stars in Colombo. It really showed from the check in to dining and housekeeping etc. The hotel still maintains the level of true 5 star classy property in Colombo. Well done guys.,Date of stay: June 2019
nbcarvalho,Very high quality Hotel,"The Hotel is well positioned, the staff is of very high quality and are helpful all the time. The breakfast was very well served and the internet connection is good. If I have to point out any drawback is the number of people trying to sale you Rickshaw trips outside the Hotel if you want to walk by yourself.",Date of stay: December 2019
PNC D,Dated hotel in need of refurbishment,"We spent a total of 3 nights here in Decemebr 2019. Must say ,I was disappointed that it still carries the Hilton flag. The rooms are dated (80’s). The rooms still have old fashioned tubs with overhead showers. The carpets are old and musty.   We stayed in 2 different room types(we returned to Colombo 1 weeks later) and both rooms had a cigarette odour emanating from the air conditioning system(We stayed in non smoking rooms).   The  service was above average.   Location was good.   If you want to a better 5 star hotel nearby, rather try Shangri La",Date of stay: December 2019
WhitneyLUSA,Would Go Back,"We only got to spend one night here on our last day of our too short stay in Sri Lanka.  The hotel public spaces are lovely and the staff was friendly and helpful.  I am a frequent Hilton guest so had access to the Executive Lounge, which offered a great option for breakfast and a nice happy hour, which we particularly enjoyed because we raced some rain to get back to the hotel for the evening, then didn't feel like departing again.  We both agreed  the bed was the most comfortable of all of the hotels we tried in Sri Lanka, and so that was a nice treat!  I have been told the rooms are being renovated, so I expect the hotel will be even nicer after that project is completed.  We thought the location was very convenient.",Date of stay: December 2019
Afeefsmile,My favorite Hotel,Hilton Colombo is our address in Srilanka. I have stayed here more than 30 times last ten years and we feel like home and the team members are like a family. All of them are so unique and kind and offer genuine hospitality to us. We also experience little issues like you have  at home and everything is taken care and solved immediately. Thank you the team at Hilton Colombo. You are the reason why we keep coming. Wish you all a very happy New Year !  See you in 2020!,Date of stay: December 2019
Senuri P,Great service and great place,We spent christmas eve at Hilton and really enjoyed it. The place felt extremely safe with all the additional security measures that they had taken. In the lobby they had a christmas pop up market and in the evening they had a santa and an elf as well as a live band.  The service was very admirable. They also had one of the best breakfast buffets at the graze kitchen.  We wanted to dance at the Blue late at night but unfortunatey we found it closed at around 11pm which was a bit dissapointing.,Date of stay: December 2019
Directeur0,Exceptional service in a prime location,"All of the staff do everything possible to make your stay the best experience you can have. Everything runs smoothly and all service function at high level. The property is huge with the back area to the pool stretching over to the other side via a bridge. This area also has the exercise room and Italian restaurant. There's also a curry restaurant besides the buffet restaurant. Breakfast has a very large selection of many local and international cuisines. I had a wonderful stay and am a Hilton Honors member. The property is beautifully decorated for the holidays and the local community uses the hotel for nights out, weddings, meetings, etc. There is the issue of renovation but the rooms are clean, well cared for and useable but are just dated. There's high speed internet",Date of stay: December 2019
Ceylon Alan,Great Place,We’ve stayed here a few times recently. The breakfast has a good selection and staff are attentive. The executive lounge is excellent and customer service is fantastic. It’s a pleasure being in there with that team. Room was spacious enough but a little tired.,Date of stay: December 2019
Frank J,Business stay at Colombo Hilton,"Amazing staff across the board.  Rooms need updating however they are large, comfortable and clean.  Beware of rooms facing front of the hotel.  Windows are not soundproof which can present a problem for light sleepers.",
Tiger,Requires Renovation,"I was quite impressed with the restaurant ambience and the pond near it. Food was ok, it would have been better to serve indian food hot. The most awesome thing was the Christmas decoration. Hilton though need to provide the new electrical sockets and especially one near the bed. It certainly need renovation of rooms",Date of stay: December 2019
rashig,Magical stay,"This was my first visit to Sri Lanka. The Xmas decorations at Hilton Colombo floored me. They were simply magical - inside and outside, in the lawns. There is a Dutch square right outside, and a Miniso store there. The World Trade Centre next door has a nice restaurant on the ground floor where you get hot food. So, nicely located.  Hotel security is good. Wifi is free and no password needed. Check in and check out were pretty fast, and they also exchanged my currency. All in all I had a great comfortable stay, with warm staff and all needs met. Enjoyed the breakfast too which had all the usual stuff to make one nicely full. Only one suggestion...improve the masala chai!",Date of stay: December 2019
N4888YApeterw,"Hilton , always reliable. Great location. Helpful staff","Stayed here every time I come to Sri Lanka. The breakfast is something I look forward to, seriously good. Love the pool area. We love the way we meet the staff that we recognise and they do too, makes you feel at home",Date of stay: December 2019
Rohitha22,Surprising truly International buffet at Grace kitchen,Last Friday I have visited with my family and my wife's friend to Hilton Colombo for dinner buffet.   It was amazing and highly recommend for every body who wants to experience culinary surprise from whole world as well as srilanken. Well organised buffet and lovely atmosphere combined with excellent service make us truly value for money. I don't hesitate to recommend this buffet for our locals and visitors to Srilanka. Thanks Hilton Colombo.,Date of stay: December 2019
Emma,Great food & service,"Just had a lovely meal at Flow restaurant, the food, wine and dessert choices were amazing. Thanks Supud and Bandara for the great customer service and looking after us all night. I’ll be sure to come back again next time I’m in Colombo  :)",Date of stay: December 2019
Nesh M,Not great value for money,"The Hilton is around 30 years old and it shows. Doubt it’s been upgraded since opening. Rather disappointing reception. My last stop in Sri Lanka and compared to every other city I visited this is rather impersonal. Probably focused on business. Not much value for money, many other hotels around cheaper, better facilities and much happier to receive guests.",Date of stay: December 2019
Sheila G,Great hotel for their buffet,A fried had recommended the buffet at the Hilton and they weren't wrong. There are a choice of 2 buffets - a traditional Sri Lankan buffet with seafood and a 'round the world' international buffet which we chose. Both are the same price lkr3250 plus service and tax. There is no limit to how much you eat so it is very good value. We chose it for our last night in Sri Lanka and weren't disappointed. The hotel looked beautiful for Christmas and all staff we spoke to were extremely friendly and helpful. Obviously by Sri Lankan standards this is very expensive but for us in the UK it was a bargain. Non alcoholic drinks included,Date of stay: December 2019
Dil,Jazzy evening....,"The Lobby of Hilton is one of our favourite haunts....it never disappoints us in terms of food, ambience, service and of course entertainment.... Our recent visit too was highlighted with good food, excellent service and absolutely wonderful groovy, jazzy music by Gananath and En Route...and the decor is sooo nice, very xmas....as usual We had the best time ever...so relaxing...my little one as usual loved the whole package...thank you to the staff at the Lobby, especially Iroshan and the duty manager that night....keep up the fantastic work.... looking forward to visiting again...",Date of stay: December 2019
monimana2007,Awesome stay,"We'd book throw Mr.Naveen Sharma  from head office . He booked for us interconnecting room which is easy to access  both room. Nice location city and sea view, room was very comfortable , we got complimentary breakfast both days for his side.we got special service from his side. They provide us complimentary fruits basket and chocolate box both room . we enjoyed a lot.My parents they like very much.Feel like home away home. we'll visit again. Hospitality is awesome. Specially mention few person Name Mr. Omesh Dsiliva Mr.Erande Mr.Akalanka Mr.Steve Ms.Adriyana Mr.Naveen Sharma .  Thank you all",Date of stay: December 2019
Travellingsunshine,,,
funnysean,,,
Mihir_Sachdeva,Hospitality at it's Best,recommend everyone to stay once at this property to experience the best of Sri Lankan hospitality. Every staff member feels pride in making u comfortable. We felt it as our second home. From food to sports or the executive lounge every department is competing to get a smile on every customer they serve.  Appreciate the team at Hilton Colombo for making my family  holiday memorable.,
John O,Rooms/Suites Need Refurbishments,"I have stayed at this Hilton Colombo what must be roughly ten times since the early 2000.  The hotel recently renovated it's lobby and moved the executive lounge to a lower floor (good).  The suites, however, are extremely classic in decor and in need of refurbishments that the hotel was already supposed to begun (they haven't).  I do like the service in the executive lounge and Hilton Honors Diamond benefits.  Will return when in Colombo next time.",Date of stay: December 2019
Igor Silva,Old but gold,"The building is a bit old, the style of the rooms are a bit old fashioned. But this is definitely not a problem. The rooms are very clean, shower is excellent, bed super comfortable and the view can be very nice depending on the side of the building you stay. The employees are super efficient and nice. The breakfast is pretty decent. Definitely my first option when visiting Colombo.",Date of stay: December 2019
S. H. F,Outstanding service,"The service is outstanding to begin with but so are the amenities, including bar, restaurant, gym, pool, and location. I am a HILTON Diamond member and found the service to be the best I’ve encountered at any HILTON anywhere — and I stay at many.",
Ausim K,Wonderful Staff,I thoroughly enjoyed my stay at the Hilton Colombo as the ambience is great and the staff takes great care of the guests . The good was awesome and I thoroughly enjoyed the delicacies in the multiple restaurants . The building I guess is not a new one but is well maintained and the rooms are comfortable . There was an Oktoberfest also being organized with music and booze for the revellers .  Overall I enjoyed my stay and would like to visit again .,Date of stay: November 2019
andy c,Nice executive lounge,"Nice hotel in the centre of town Very friendly staff  Only ate breakfast there, which is a large buffet style which plenty of choice from European and Sri Lankan food on offer Live music on the evenings, although I found the cocktails too seeet",Date of stay: November 2019
Maulie Siriwardena,Wonderful experience,"We visited Hilton for a training purpose. The staff is very friendly and very keen to help their customers at any time. The food is excellent. Special thanks to Mr. Manesh, Mr. Dinakara, Miss Asangi and Miss Achala for making the visit a wonderful experience.",Date of stay: October 2019
Amaya Pieris,Amazing training program,"My colleagues and I along with our lecturers visited Hilton Colombo as part of our BTEC Hospitality term training. The hotel is located in the heart of Colombo's business district. The Hilton lobby is created around a rainforest concept. The staff members at the hotel are very friendly and hospitable.  I would like to thank Ms.Achala, Ms.Asangi, Mr.Dinakara and the Hilton team for taking time off their busy schedules to come and talk to us about the hotel. I would especially like to thank Mr. Manesh Fernando for giving us the opportunity to visit Hilton Colombo for our training.  Thank you for organizing an amazing training program!",Date of stay: October 2019
Maneka Madanayake,Amazing flavors!!,My friends and I went to the Graze kitchen for the lunch buffet and we enjoyed the variation of food offered. The buffet was intercontinental with lots of amazing flavors and tasted amazing!!!!! the service at the graze kitchen was amazing and I would definitely come again:),Date of stay: October 2019
Levanya W,excellent,"we visited the Hilton Colombo  on the 28th of October 2019 and the location was very beautiful. The hotel staff welcomed us with a welcome drink and later on showed us around the hotel.Miss Achala Zoysa and the general manager Mr Manesh Fernadand,Mr Dinekara and miss Asangi were very helpful and friendly.we really enjoyed our tour around the hotel and wish to come back.",Date of stay: October 2019
Bipuli Baddewela,Training at Hilton,"The location of the hotel was very beautiful.They welcomed us with the welcome drinks which was a warm gesture towards us . Miss Achala,Miss Asangi and Mr.Dinekara was very helpful personalities which helped us during our visit to gain knowledge about the hotel.Miss Achala taught us how to shape our future career.During our tour around the hotel the cleanliness of the rooms,the methodical  manner of the kitchen and the friendly nature of the employees were some of the best features I saw.",Date of stay: October 2019
Dinasha,memorable experience,The customer service provided by the staff was excellent. i would like to thank miss Achala and Mr. Dinakara for taking time their busy schedule to organize a tour for us around the hotel and providing us refreshments.,Date of stay: October 2019
Anisha,Amazing expirience,"The staff were very friendly and attentive. I would like to thank Miss Achala, Mr. Dinakara and other staff for helping us around the hotel premises. My friends and i had a memorable experience. We hope to visit the hotel again.",Date of stay: October 2019
frankM318RA,Top Concierce Service,"Location of this 5 Star property is a  7minute walk from the main train station (Colombo Fort). TukTuks are very cheap to get at the station (price less than one US Dollar), if it is too hot or your baggage too heavy. Beware of the traffic if you walk. Pedestrians are the last link in the chain in Sri Lanka! It is chaotic. Once you are in the hotel I enjoyed a welcoming atmosphere. Easy check in, nice room and a good view. Breakfast is outstanding. Variety is great.  Best breakfasts I have had in the last years. And I travel a lot - more than 120 nights in 4 and 5 star hotels last year! The service in the Executive Lounge is great, too. I did not try it out for breakfasts but during the day and especially in the evening from 6 to 8.30 it was great. Food is delicious. Drinks are",Date of stay: November 2019
AUREL,Appreciating Cafe Kai customer service,Was impressed by the customer service provided by the staff at #cafekai. Our expectations were met over and above within a shorter time period. Especially Would like to thank Manuri and Kasun for the support extended.,Date of stay: November 2019
Coastal160408,,,
rmbraithwaite,Terrific experience!,This was a terrific experience.  The only place to stay in luxury and comfort in Colombo!  The staff were fabulous and helpful and anticipating our needs.  I truly enjoyed the hotel experience and would stay there again!,
Sanjeevan,,,
Prashi,,,
Adrian S,,,
Pramook N,Impressive Presidential Suite,"Excellent location, very beautiful ocean view,every function very luxury the suite is quite big with two bedrooms one 8 seats dining table one kitchen three toilets wonderful parlor three TV set complimentary WiFi etc., Therefore I can say that this is one of the most luxurious room I’ve ever seen since I have been the HHONOR member.",Date of stay: October 2019
Mmapaseka Steve L,,,
ramandsingh,,,
Sonam B,Vihara,Vihara was so helpful during oktoberfest. she managed to take care of our requests ans make sure we were always having fun at the optimum level . please consider her in organizing further events. we love her,Date of stay: November 2019
Chandana P,Charming As Usual,"Stay there forv3 nights force event in colombo. Food was great as usual. Rooms facilities and HK was super.very touched every day you have something in the room but my most liking was the flowers. The 2 annoyed things I had 1st. The bidet was not their in a SL hotel.even in most of the European hotel that I travel now even in the middle east is mostly available. Old style commode.valet parking bit unprofessional at times only.othereise all in all great stay.love very much the beautiful pond with that cute swans, fish etc..",Date of stay: October 2019
573rameshb,My Stay in Hilton Colombo,"My experience in Hilton Colombo, it was a very short trip i.e. 1 day to be precise. I was very looked after from the reception staff to concierge providing valuable guidance on what to see and visit around the area.  The executive lounge was very friendly and courteous, this hotel is well suited for the family as well. I am going to make every effort to revisit the hotel with family in the near future.  The amenities in the hotel are truly 5 start and I enjoyed every moment I spent time, cursed myself for lack of time. Close to many local attractions i.e. Ganga Rama Temple, City Center etc..",
Helder M,Fantastic hotel.,Great location nearby everything you might need in colombo city centre. The hotel offers fantastic facilities and the staff is amazing not to mention the concierge that is so helpful (even helped us planning the rest of the trip through Kandy and Ella).,Date of stay: October 2019
