name,review_title,review,date
HDB,Inspection Tour,Very Fresh Property with excellent helpful team specially Mr Rohan Front Office & Mr Amit Concierge who was very cooperative understanding the extra care required for hospitality industry. Wish them Good Luck for the future!,Date of stay: February 2020
docMartin,,,
Poppy Moore,,,
Dhanuka S,Awesome service by rooftop bar,It’s a great location and a awesome service given by rooftop bar staff. specially by Dinusha thank you so much for your hospitality and we will return soon.. Your shisha flavors are above expectations.,Date of stay: February 2020
Ioana Cristina,,,
Nasir A,5 star hotel,"Good hotel, friendly staff, good location, good service, spacious rooms particularly in the top floors overlooking the Indian ocean. Was surprised to find a dead cockroach near the elevator, brought this to the attention  of the lobby staff.",Date of stay: February 2020
LadyPui,,,
Chef Deden,friendly and efficient,"thank you to movenpick family, 5 night to stay and you all such a good host. my trip and my stay so comfortable and delightful as well so easy throughout. room is comfy, clean and neat, at AYU restaurant the service so helpful and efficient... food is great and lot of interesting offering you can choose. Room Service they are so friendly and very considerable to my needs, during check in and check out they made everything so easy. its helping me after busy day! thank you to all of you heartiest.",Date of stay: February 2020
Mmousa,3 days to remember,"Had the pleasure to stay in this hotel, that provided a memory that I am keeping to compare this hotel to every single hotel I am staying in.   Check in and check out was more than great and fast, staff in reception are smiling and very helpful.   Room, had the pleasure to be upgraded and this was a dream come true, I could not explain to give you the sense of the room but all I could stay that you could spend the whole trip in the room and you would never be board at all.   Food this is another things that no one could comment as the taste was great, a lots of options available.   I would recommend this hotel to everyone",Date of stay: January 2020
Aliensis,Not even close 5 to  stars,"We were in the hotel for 3 days, of which no one cleaned our room for 2 days We were having lunch on the roof of the hotel, the waiters were arrogant and unkind.In the room the toilet is not separated by an adequate door, when someone is in the toilet everyone has to leave the room. I do not like to give anyone a unit, but a 5 star hotel should not happen to clean a room for 2 days.",Date of stay: February 2020
PhilipBALL,Housefly Cake in hotel,"Feel disappointment to this hotel. This should be a new hotel, but we found the stain inside the bath room. Furthermore, when we were going to check out, and  we were waiting in the lobby lounge. We found their cake look decent and  we planned to taste it. However, we found a housefly is tasting the cake. We told to their lady server, but she didn't say sorry to us.",Date of stay: January 2020
mohammad,family visit,"A family visit was acceptable, but the only comment is the quality of the breakfast. The service is very excellent. Cleanliness is acceptable, not bad. The place is also good, but it is a first stop station.",Date of stay: January 2020
DanFreemanPhoto,,,
Christeen Saparamadu,,,
Chathu Kuruppu,,,
AhmadFarhadFidai,,,
Gihan De Silva,Nice Place for Busy Schedule,"Since this hotel situate next to a mall and heart of Colombo, it helps everybody to enjoy the fulfilling of the wants of them. AYU is nice place to eat and Roof Top Bar is amazing. Good for Business Travellers.",Date of stay: January 2020
Glenn&Joey-Aus,,,
Jeanette C,Too much upselling,"We booked a standard city view room for two nights (we were leaving at 9pm for our flight home but wanted to keep a room).  Received an email 48 hours before checkin offering upgrades (not sure if they were good rates as we did not pay too much attention).  We arrived around noon and were advised on checkin that although our package included early checkin from 10am this was only if available, and our room would not be ready till 2PM. BUT for an additional fee of $US90 per night we could upgrade to a better room which was available immediately.  We declined, said we would wait, but would appreciate if they could look again for a room that would be available sooner.  We were moved to a (complimentary) Seaview room and told it would be ready in 30 minutes, but was then available",Date of stay: January 2020
Samantha F,Expected more for the cost,"The location is great, rooms are amazing, and rooftop area is lovely.  It took us over an hour to check in (at 4pm) as our rooms weren't ready. Our rooms were not cleaned every day, even though we were out all day. For some reason we weren't able to charge (the seriously overpriced) drinks to our room. Minor inconveniences,  but annoying nonetheless.",Date of stay: January 2020
Pun121,Amazing service !!!!,"Just came to this hotel - the view is amazing and the service is awesome both together it’s a greet combination I have to mention, shisha with a view.  All the F&B staff were extremely helpful . I have to say special thanks to kavindu from the sky bar!!!! Amazing service !!",Date of stay: January 2020
Dushyantha P,Dinner at 4th floor restaurant,We (family of 4 adults) went for dinner and found a number of positives about the restaurant. The staff were very friendly and helpful. The food was tasty and quantities good. The seating was comfortable and the place was clean. The desserts were excellent.,Date of stay: January 2020
Jane M,Hugely disappointing,"Really do not understand why people think this hotel is great in any way!  It's public areas are tiny and crowded. rooms are tatty and badly designed the shower is basically the entire bathroom floor. Furniture and doors are chipped, really tacky signage - low grade/ 80's holiday inn.   Poor service, in the downstairs bar I'd ordered a diet coke and he just handed me a can - no glass/ice, I then had to wait 5 mins before he gave me check to sign and he was rude!   Rooftop pool/bar - Has about 8 sunbeds for a 200+ room hotel. It's also ridiculously over priced. We went to The Galle Face Hotel (a 5 star hotel) and it was a lot cheaper for food and drink !!!   Never again. If you are looking for a hotel in Colombo shop around as you can get way better value for money.",Date of stay: December 2019
Stefano,Amazing!! Amazing!! Amazing!!,Stayed in this beautiful and clean hotel for 2 nights and the experience is superb. My room was located with the sea view. Very Professional staff and very attentive. Would have been stayed here for my whole stay but unfortunately I have to visit down the coastal line for work. I'll be definitely stay here if I ever happens to come to Colombo.,Date of stay: December 2019
Maria S,Perfect rooftop pool,"Spent a perfect day at the 23rd floor rooftop pool. Great view, nice infinity pool, good food - all reasonably priced.  Service was a bit slow but we were not in a hurry.  Drinks weren’t that good but ok.",Date of stay: December 2019
Downdown_D,Very pleasant stay in upscale setting,"It’s been 3 years since our last visit to Colombo and the hotel scene is getting competitive.  For the money, this hotel was a very good value.    We had a junior suite, which offered plenty of space for our 5 day stay in the city.  Fully equipped with everything western travelers expect (ironing board, mini fridge, water, lots of toiletries and bathroom amenities). Shower had great water pressure and the soaking tub had nice views. Bed linens were soft and towels were plush.  The gym is pristine, new equipment and very well equipped.    The rooftop bar offers nice views and hip music, despite the din of nearby construction of more hotels/condos.  Good bar menu and nice choice of spirits.  The infinity pool is very beautiful, but the pool deck is tight and not great for",Date of stay: December 2019
Tanya887,Great location and lovely pool / roof top bar,"Centrally located and close to all you need in Colombo without being on the ""ritzy strip""  Great breakfast choices and the executive lounge upgrade is also worth it for the food and drinks available from 6pm.  Friendly staff and willing to help.  Rooms was clean but smelt - possibly from a smoker previously and whilst HK quickly attended and sprayed the room the smell was back the next day.  Our friends rooms didn't have the same issues.  Fantastic views and worth upgrading to an Exec Room or suite as the views are guaranteed.  Roof top bar and pool area have great views also and are lovely to spend time out of the hustle and bustle of Colombo.",Date of stay: December 2019
Hamish D,Wonderful Staff but Take Your Umbrella!,"In general the staff make this hotel and do a good job at it. There may be a few niggles in certain areas but the friendly faces and acknowledgement of you by name goes a long way. This was true from guest services, concierge desk, the restaurants and bars. Notwithstanding the fact that I was there for 7 weeks I never once met any senior manager - the general manager would come into the restaurant for breakfast every morning and sit with his staff but I only once saw him engage a guest. Spending 5-10 minutes every day stopping off introducing himself and asking how things were during the stay would be very welcome and I am sure would provide superb feedback.  The hotel has one of the best rooftops in the city - 24 floors up with a tremendous view (albeit that the new buildings",Date of stay: November 2019
ARU7,,,
Vahrun Taraporewala,,,
TravellerLK,Gem in Colombo,Great Food. Great Rooms. Great Rooftop Bar and Grub. The boys at work always with a smile. Well designed interior. Lobby is small but serves the purpose. Mansion longue for a Beer n Cigar is amazing. This is a very unique happening place in the heart of Colombo. Would sure stay again. Very next to Uptown shopping arcade with good deals. Amazing views n amazing lobby cafe. Great Place to be,Date of stay: December 2019
Alex C,Nice hotel but wouldn't stay again,"This was a nice hotel and everything within the hotels control was pretty perfect except from the pricing which was the most expensive of the 15 resorts we have stayed in in Sri lanka and the other resorts were just as nice.  What did disappoint were the sea views. We paid for an expensive suite with bath tub and sea views however it is currently a building site with sky scrapers going up all over the place. It truly does look horrendous and not what we expected from such an expensive room on our honeymoon. These views of the building site continued to the infinity pool which was on the same side as our room. Not great for any good holiday snaps! Again, compared to other resorts we have stayed in we have had much better surroundings for far cheaper.  In summary I would say that",Date of stay: December 2019
KlnBrown,Lovely hotel conveniently located for the city centre,Really lovely room with all the facilities you would need. The bathroom was stunning with such a comfortable and inviting bath.   There were plenty of options at breakfast and the staff were attentive.   Happy hour in the executive lounge was a hilight of our stay here. The cocktails were amazing!,Date of stay: December 2019
Dulan Jayasekara,A wonderful stay,Right from the reception desk everything was perfect. Room was nice and clean. We got an upgrade to 22nd floor. The views were amazing. We thank Dulaj from the front desk and Chalani from the AYU restaurant. She was so friendly and we felt like home. She made sure that we had the best dinner and breakfast at AYU.  And the rooftop pool was amazing. The views were stunning. Overall it was a memoroble stay. Thank you Niraj for the recommendation.,Date of stay: December 2019
Helena Fernandes,Excellent !,"Only a few minutes away from Galle Face and the beach. This is a 5-star hotel containing rooms and suites with floor-to-ceiling windows, offering panoramic views. The infinity rooftop pool and the rooftop bar at this 24-storied building offer visitors an unforgettable experience.",Date of stay: November 2019
Vy T,,,
Agnieszka J,Nice hotel but not well organized,As for my job I've been to this hotel more then once. For the first time when I got a room it was smaller then the others. As the bathroom was also smaller and there is no door in the shower it was impossible to take a shower without flooding the whole bathroom and even a little bit of the room. The cleaning wasn't to deep also since I found someone else's food leftovers in the fridge. Hair dryer was also broken. The second time I was more lucky with a room. It was spacious and really cozy. I really like the bathtub with a sea view. The third time I had some bumps with the service. I left the room for two days and when I got back it wasn't cleaned even ones. The next day (check out day) I put the 'dont disturb sign' on the door since I tried to sleep before work. I was woken up,Date of stay: December 2019
Inosha W,,,
Alma Rubin,We are love in ocean view,From one side a beautiful view of the city and the other side is the ocean view. The location is quite convenient in the middle of the town. We had excellent service and food. Our room had a perfect view and comfort. We loved the stay with them.,Date of stay: November 2019
Munhong Ho,"Excellent, modern Western style hotel","The hotel and room itself were posh, the rooftop and lounge were phenomenal, and staff were overtly friendly - without being overbearing.   Great central location within Colpetty - easy access to Galle Face Green, Independence Square, Beira Lake and close enough to Fort without being caught up with that crowd.  The hotel dining was catered more towards Western/Asian dining, so don't expect Sri Lankan food.",Date of stay: December 2019
Jerome R,Surprised with my anniversary date night dinner with my wife,I should thank the whole movenpick team and especially the staff who noticed our anniversary day even though we didn’t inform anyone when we did the reservations. Hats off to your customer satisfactorily service and your kindness. Food was amazing and buffet worth the price.,Date of stay: December 2019
Randy L,Wonderful Experience,"I was really impressed about the city bring full of Buddhism and especially the employees at the Movenpick hotel. They were wonderful, professional and very friendly. Just to name a few, Dilshan, Chalana, Chalani and especially captain Dinithi (with a lovely smile). I love the way that Dinithi handled the business. I believe she is an asset to any team she is a part of. I’d say Movenpick is very lucky to have a wonderful employee like her.  All of them provided excellent customer service and worked very hard to deliver consistently exceptional customer service.  I was there for two weeks and I had a chance to talk to each of them during breakfast, lunch and dinner. I'd love to recommend this place in a heartbeat to all the tourists. I made many friends while I was there and I’d",Date of stay: November 2019
jacblenners,Fabulous,"We received a very warm welcome at the hotel on our arrival. The staff at reception were really friendly, we were offered an upgrade to a suite which in retrospect was well worth it. The room was amazing views of both the sea and the city. We also had access to the executive lounge where you had free drinks and a great selection of canapés etc. between 6pm to 8pm. Although the hotel is not on Galle road where some of the bigger hotel are it was very central and approximately a 10 minute walk to the main waterfront.  Breakfast was excellent with lots of choice. Staff were also really friendly and helpful. There is added security at the hotel as expected but this is a definite bonus and we felt extremely safe. I would definitely recommend this hotel for a stay in Colombo.",Date of stay: November 2019
Anna Elisabeth,The room was wow,"We had a great and large room with view over Colombo as well as to the sea. The bathtub in middle of the room was a great experience. The rooftop bar and the infinity pool were breathtaking. The food was good, many different options for all tastes.",Date of stay: November 2019
Chris S,,,
shanaka d,,,
piyaa,,,
MelbournePerry,Fab hotel 5 star 🌟 with fantastic service,"I didn’t know too much about this hotel chain and took a chance booking it on my recent stay in Colombo. I needed a hotel within easy reach of Borella a suburb of Colombo . So I choose Mövenpick and stayed 5 nights.  Pros: Arrived at around 1.30 am smooth check in, good security Choosed a room with a sea view The room was large with a king size bed Good pillows and very comfortable bed Free water daily Free breakfast was included in the package The breakfast spread was very good and clean Room cleaned on a daily basis Cons Nothing had a hassle free and very comfortable stay. If you are staying at this hotel you must visit the roof top bar it’s fabulous and very well set up. The views are fantastic.unfortunately it rained on our last day and the place was wet as it’s open air.",Date of stay: October 2019
Diana R,5 star service,"MOVENPICK HOTEL COLOMBO! remember this name as this is best hotel in Colombo! Prices are excellent, I have stayed with my sister for our trip in Sri Lanka honestly I am so happy we found this place. Reservation staff name Dinesh was very lovely and very helpful. we got an upgrade room to junior suite upon check in!!! all with help of very nice, friendly and professional staff who have great as at the entrance. We felt special from the beginning to the end. The room was lovely, super clean with most comfortable bed I have ever slept on! and OMG love they pillows!!!:))) bathroom with shower very clean. night out as well.Breakfast was awesome. All the staff in the restaurant so happy are very friendly. with our stay that acually was sad to leave!. Overall I had best stay ever in",Date of stay: October 2019
Dilshan G,Average Food,"Yesterday I went with my team to have dinner in the evening. Hospitality is good that I can say but the food is an average . They had a seafood action station, Sri Lankan and Indian food as well. But less variety of food items to choose from the buffet and the food quality is not good as well. Specially the seafood items we got disappointed , not fried very well . Hope my next visit to enjoy a meal there would be better than this .",Date of stay: October 2019
Johny doe,Birthday celebration at AYU,"Movenpick has got the best staff, hospitality and ambience.The food was amazing and the staff were well disciplined We went there to celebrate a birthday and undoubtfully they made it the best! Will highly recommend AYU to anyone who wishes to have some quality time and spend their birthdays in a fantastic way.",Date of stay: October 2019
kurt v,Ayu,We went for lunch buffet. The food was nice but a bit limited in choice l. Starters where lots of salats but main ingredient was difficult to spot lots if lettuce but chicken? Beef?seafoods? We don’t think we will go back . They charge same price as places where you have more different dishes. So value for money no,Date of stay: October 2019
790redricka,"""Wonderful""!","The staff are amazing- thanks to Saman, Amith. The location is so good and convenient. Breakfast was good. Room service has a payment policy problem which the management should highlight properly or else they will loose a lot of loyal customers. Rooftop bar is a place not to miss - Thanks to Danusha for making it lively. Unfortunately it was raining so didn't use the blissful pool with a stunning view of Colombo.",Date of stay: October 2019
Sandeep Gupta,A very good stay,"This was my second stay at this excellent business hotel in 2019. Great check-in(by Jerome), super room with a view and really excellent service at AYU. AYU is an all-day restaurant. Dinithi and her team really know how to make a guest feel at home. The only less-than-positive experience was at Vistas, the roof-top restaurant; where the service was excruciatingly slow.",Date of stay: October 2019
Thiti M,Make sure you wake up and ready to pay for the bill 24 hrs.,"Yesterday we were checked in Mövenpick Colombo for two nights and yes we paid for it in advanced. Last night we were odered room service ,Every thing was going well food comming I was signed the bill amount Rs; 6,000 , Until 10.45 pm, we got a phone called to our room to pay for the bill because we have no credit to sign the bill, that what they said. My husband replied ,we will pay tomorrow becusec we in bed already, but they said we have to pay right now (10.45 pm) staff was stand on the front room. So we really upset about that,the whole day we were traveling and so tired. but we went down to reception made a complained and paid our bill. Then this morning we were checked out then go to other hotel. and we won’t come back to Mövenpick Colombo anymore.   How comes!!!!",Date of stay: October 2019
Natasha d,,,
VikrantGrover,,,
Malini munasinghe,Exquisite dinner buffet!,"We were greeted by very friendly staff who led us to the fourth floor to the AYU restaurant. The food was delicious and the staff courtious and the service was extraordinary. Thursdays are their seafood buffet night and we thoroughly enjoyed the wide variety of seafood; crabs, prawns and cuttlefish just to mention a few. We took some amazing video footage of the Colombo city skyline from the terrace. Fabulous experience...an evening to remember.",Date of stay: October 2019
Kushani,Delicious food with excellent service!,"We went to lunch buffet at Movenpick and that experience was simply nice! The ambiance is outstanding, the food was amazing. They have delicious sea food dishes which I loved. And so many varieties in dessert area, a sweet tooth like me surely will enjoy. The staff there is very friendly and the service is excellent.  I recommend this place to anyone for lunch and dinner.",Date of stay: October 2019
EmkaySriLanka,A good place for a business meeting,The business meeting was very well organised by hotel. Tea break snacks were innovative - not the as usual  bites.   Lunch had a good  cheese plate and a great roast pork dish.  The soup was a bit watery. The desserts had some variation - noted  a very tasty  choclate mousse  The staff was very helpful but the banquet assistants could do with a bit more training- eg not to lean across a guest to pick up a plate..,Date of stay: October 2019
Melissa N,,,
Indy,Super rooftop view,Went for lunch today to the rooftop bar which has a super view of Colombo  Food was super  Since it was Poya day they were not serving and alcohol  Had a super time Atmosphere was nice But they have to do something about the roof the skylight above the area it is broken and parts are almost Near falling  Part from that friendly staff and service  If you don’t like the sun too much my advice is to sit on the pool side area table because you are going to hit with the evening sun directly  Which I got and had to move our table twice to avoid that Cheers,Date of stay: October 2019
Rie.F.,,,
Nalini,Stunning view and very comfortable hotel with amazing staff,We stayed 10 nights in amazing ocean view junior suite with business lounge access.   The room was very spacious and well equipped with all essentials.  House keeping staff were ever ready to help us if we needed anything.  We enjoyed the complimentary drinks and snack at the lounge. The staff at the lounge was very helpful. One staff member in particular who I can not recall the name made me very special cocktails every day. Thank you for those cocktails.  Chef Sudath if I got the name correct was amazing person who took time to engage with us and get to know our needs. He made sure we had pol roti for breakfast everyday. Thank you for those yummy pol roti.  All staff at the hotel were very friendly and helpful.   We have no hesitation to recommend your hotel to our family and,Date of stay: September 2019
wozaboo,Amazing pool. Room wasn't clean,We only spent one night at the Movenpick. We were on honeymoon and we stayed here the night before we flew out of Sri Lanka. The hotel looked amazing the views were incredible. The rooftop infinity pool was great and the breakfast was the best we had had in srilanka.  When we got in our room I checked the fridge to find it full of Tupperware containers and half drunk drinks. I reported this to reception as if they hadn't checked the mini bar then had they cleaned the Room?  The floor was not clean in the Room either. Quite quickly we had someone in a suit come and check. He then sent a member of the cleaning staff in to empty the fridge. After he had done this he made a swan out of a towel whilst we were still in the room. This is something he did as he had been told by the guy,Date of stay: September 2019
Tharakie Perera,,,
Peter G,The Bed Hugs you to Sleep,"Spent one of the most comfortable nights in this lovely hotel, the bed was sooooooo comfortable and the pillows and duvet simply hug you to sleep! Excellent views from the upper rooms even though there is some development happening between the hotel and the sea",Date of stay: September 2019
Chrisja I,,,
PaddyCooke,Stunning hotel in Colombo,"I stayed here on my last night in Colombo after a business trip. This is a stunning hotel, the best in Colombo that I have experienced. Amazing ocean views from the room and the rooftop bar (that features an infinity pool). Gym was very large and modern and there is a steam room in the changing area. Breakfast buffet was fabulous and the staff are very courteous, helpful and professional.",Date of stay: September 2019
coach,,,
kalpa d,Great Food @ Robata Grill & Lounge,Really like the hotel+Robata restaurant & roof top bar.very nice & clean. specially need to mention the service we received from Mr.Dammika @ Robata restaurant. it was very professional & friendly. We will visit back again....,Date of stay: August 2019
Roland G,Spa,Thank you for one of the best experience of deep tissue massage in your SPA on last 22 August .  It was very professional and provided the best benefits .  A great thank for selecting the therapist from BALI and for creating the very warm delicate and clean environnement in your SPA.  A special thank to Miss AYU who delivered this high quality treatment .,Date of stay: August 2019
Mr. Ahmed,,,
Chanuka,Had a nice time,Great bar and it's staff. Loved the atmosphere and the view. Food & drinks are reasonably priced. Try their draft beer and fried Handallo(small fish) bucket.   Hats off to Kapila and Udayanga for their top notch service..,Date of stay: August 2019
BigPod,"Almost perfect, but needs to up the game for F&B","Stayed here for four nights, five star hotel that is quite new and located in the city centre. Represent ted good value and the Executive Room gave good benefits like two hours free drinks and food every evening, which was worth the extra cost alone  Room was clean, spacious and well maintained with a great bathroom and a comfy bed. Also had the best pillows we have ever experienced and the front desk told us the local supplier so we were able to grab some too as the store is just five minutes away  Vistas bar on the roof is good, the team there excelled time and time again, especially Kapila, a real superstar. Drinks are excellently mixed, well priced and great views with a wonderful Breeze from the Ocean.   We tried the Asian restaurant, great food, you have to try the pork",Date of stay: August 2019
Mohamed C,,,
Kppi alzadjali,,,
paul z,Comfortable beds friendly staff great food,"The hotel was great as a base for four-day break but will defiantly keep it in mind for work stays and meeting .  Rooms are bright comfortable ( great beds!!) and airy, lots of choice for food and the roof top enables you to have a meeting, a drink at the end of the day or coffee and a meeting.  Staff are all warm and friendly and nothing is too much to ask.   Site seeing or transport around is easy to book.  A good place to stay for either work or vacation",Date of stay: August 2019
Sujith Ratnaweera,Really helpful staff,I’ve had a dinner in movenpick at AYU last week with my friends and that was amazing. The hospitality and the food was really good. Excellent background and a great view of Colombo city from 4th flour. That was tremendous. Give five star ⭐ for the movenpick. This is my second time visit. I really enjoyed. And special thanks waitress Miss Chalani and kitchen team. Good luck all !!!!,Date of stay: August 2019
Robert B,"Pleasing, comfortabl stay","Simple, unpretentious quality.  The hotel is clean throughout. The room, an executive king with ocean view, was nicely designed comfortable and fully functional. I've never reviewed a bath tub before but the one in our room was amazing. Uncommonly deep and well positioned to have a leisurely soak while watching the sunset into the Indian Ocean. Heavenly. The in-room Nespresso coffee was a nice touch.  A good breakfast buffet with some variation from day to day. It was good. The executive lounge was hidden away on the ground floor in a stayely library like setting offering hors d'oeuvres and drinks. A worth while perk for the upgrade to an executive room.  All saff were professional and attentive to our every need and request. Tip of the hat to Dulaj on the front desk. He went",Date of stay: August 2019
Laura F,Really helpful staff,"I stayed here for almost three weeks whilst working in Colombo.  Throughout my stay, all staff were unfailingly helpful and genuinely pleased to assist me.  Asanka at reception was particularly proactive, arranging, at my request, the delivery of a daily Sri Lankan English language newspaper, so that I could learn more about the country I was working in. The rooms are very spacious and views fantastic.  Generous bathrooms.  The spa area was particularly restful and well-appointed.",Date of stay: August 2019
Siddharth Srivastava,Postive Experience,"My wife Ritanbara Mundrey (from Nestle India) stayed at the hotel in July and had the following to say: ""I recently stayed at the Hotel Môvenpick in Colombo and wanted to share a very positive experience. Dulaj, the Front Office Executive proactively inquired about my comfort and on learning that I found my room noisy, went out of his way to find me a quiet room. Overall the service and support from the hotel was very good. Would definitely recommend to any overseas travellers.""",Date of stay: July 2019
YanTi L,Great Time,"Best Hotel, roof top mar is amazing and I love the buffet but unfortunately they only do it on weekend now and In Room dining is delicious and the price is really good , special thank you to the staff chef sudath, kinsky nadeeshan and bartender Kapila",Date of stay: August 2019
themii,,,
Madban,A fantastic view from the top,"One of the biggest attractions of Movnpik is their large rooms. One never feels cramped while in the room. Service is good but food options could have been much better. While the entrance and the lobby area can feel small and a bit claustrophobic, the hotel makes up for it with an outstanding infinity pool and a superb rooftop bar.",Date of stay: April 2019
Achini K,,,
abi_ar7,Luxurious hotel,This hotel is extremely close to city centre and has close proximity to all the malls. The rooms were quite spacious with wonderful views of the ocean. Navratna restaurant was quite spectacular. It serves one of the best indian cuisine in colombo. Their manager and captain Mr. Sisira and Mr. Charuka were extremely friendly. Also the staff Mr. Kobi and Mr. Lasantha were quite cooperative and customized our order to our liking. The chef Mr. Dayalan was also very helpful. Overall a pleasant stay with my family.,Date of stay: August 2019
Pras K,"Great Location, Amazing Staff","Stayed here to start our Sri Lanka trip and it was a very pleasant way to commence a 2-week trip in the country! The staff were amazing, food was delicious and location, location, location!   The infinity pool was peerless and is a must dip during your stay! The gym was also quite good and everything about the hotel was immaculately clean (as were all other hotels in the country!).    The staff were incredibly kind to offer me a laptop for some urgent internet surfing requirements and helped me get some printed documents sorted with relative ease! I look forward to my next stay here!",Date of stay: July 2019
Šhąmrįñ Š,Amazing,"First time with my family to Robata  Asin Restaurant, the food was great which was recommended by the waiter hanas, and the birthday surprise arranged was mind blowing.  Here by we take the opportunity to thank Hanas for his great hospitality and we would recommend our friends to try this restaurant on special occasions.",Date of stay: August 2019
florencetimmermans,Great service!,"Very nice experience in this 5-star property! We Especially want to thank 2 persona for their great and professional service: Saranga, manager of the asian restaurant And Nazeer of the front office team!  Thank you for our lovely stay in your hotel!",Date of stay: August 2019
Dream578830,,,
Hassan S,Good to visit,I was stay 2 nights its fantastic experience with family friendly staff and good rooms specially Mr Sunet in front office he was very friendly and helpful during our stay. Thank you very much Sunet and all team.,Date of stay: July 2019
Noreah,,,
emmabrigham,Excellent stay,"We stayed for a week in the Movenpick and they could not have been more helpful. The service, facilities, food, staff and value for money were excellent and many thanks to Gharesh for ensuring our stay was 5 star. Highly recommend.",Date of stay: July 2019
Tharu Divyanjalee,Had an amazing dinner..,Went for a family dinner at the robata grill and lounge..Had a really good time at the hotel..food was really good..Amazing view at the rooftop..service was impressive and a huge compliment goes to Dammika and the team for a wonderful experience..Hoping to come again soon..,Date of stay: July 2019
Akeel Rabbani,,,
oshan k,Vistas Rooftop Bar,"Great variety of cocktails and nice city view with a beautiful pool open to the sea , and the best place for a great relaxation which I really appreciate most and thanks a lot for your great hospitality danusha and amal bartenders with great personality and friendly customer service . Great",Date of stay: July 2019
