user,review_title,review,date,translated,entities,sentiment,sentiment magnitude
TAKZ,Harbour court,Sujith gave us a very friendly service and he was very supportive and cared a lot about us and this is what we as customers expect. So it was a wonderful eve and the food was awesome   Loved it 💪😍😍😍,Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
mwick8532,Dinner,Had dinner with friends.Menues all torn and dirty. Complained to manager He said the day manager was in charge.For a five star hotel that is not acceptable. Food good tasty.Good ambience not noisy.No excuse to have torn dirty menues,Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Poornima k,Great service,"Today, Visited as a guest directly to the Main restaurant for early morning Breakfast. Mr. Amila ( Duty manager ) was very accommodating.  What a fabulous personalized service we had.  All hotel staff I encountered were friendly, helpful, well presented and efficient. Very Yummy food with huge spread  😋😋😋😋 Pleasant morning with yummy foods.",Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Stephen,Excellent experience,Staff is excellent. Richard at front desk was a great help. Looking forward to our next stay. Excellent location. Food is unsurpassed in Colombo. Room extremely comfortable. Overall excellent experience.,Date of stay: March 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
S Skanda Kumar,Pleasant Stay with excellent Hospitality !,"No sign of the after effects of the incident of last Easter. Well recovered and restored. Restaurant staff were excellent - especially Jason, the man with a smile. The choice of food has somewhat been reduced since the incident last year. However, I must say that there is absolutely nothing wrong with what is on offer now. Well worth a visit to experience the skyline of Colombo and the Indian ocean.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Jayesh K,Wonderful hotel - excellent location & great staff,"The Kingsbury is located very centrally in Colombo with easy access to entertainment, shopping, and business district , where comfort of the guests is of paramount importance , We had a fantastic time at the hotel. Good well equipped rooms ( we booked an executive room) which came with lot of benefits including Lounge access and private check-in, the size of the room is bit smaller but very well furnished , large TV with HD international channels , the toiletries are of luxurious Bvlgari  The breakfast buffet was among the best I have experienced in any hotel anywhere in the world, huge spread, live stations , attentive staff , my special thanks & gratitude to Chef Jason and Chef Jaywardane who everyday of our stay ensured Jain breakfast for my wife , the Masala Tea was simply",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Boyko Bowv,Front office staff,"The staff at office was exceptional and Isuru,Ajith was really help full. The hotel in general is Great with amazing view. The Pool is great, the bar CaLaVi on the roof is really good. Rooms are clean and comfort. I really recommend that hotel   Thank you!",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Quintus A,The best place ever in sri lanka . Kingsbury ocean view restaurant is the best . Niroshan calistus and his team gave us,Superb & excellent service. Very tasty food and unforgettable staff with excellent service.  Thank you so much all of you guys. We will come back again Niroshan & staff we are really satisfied with everything..will visit the ocean kingsbury soon♥️ .,Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
micksuzy,Wow,"The Staff of the Kingsbury are outstanding and a special mention must go to Nalitha on reception. What an outstanding representative for this hotel. He was exceptionally polite and helped us with all our requests.  The hotel is absolutely lovely and a must stay if you are in Colombo. We love it, the room is beautiful and clean with a very comfortable bed.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Senash Ariyaratne,Writing a review on the excellent service provided on one of our special days,The ocean restaurant lead by Niroshan and his team gave us a superb service. I would love thank all of them with all my heart. Excellent job done! Their humble attitude was the talk of the party we had,Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Mark B,"Great hotel, best food had in Sri Lanka","Had the most amazing steak at this hotel and the best breakfast in Sri Lanka after staying in 7 different hotels.  Nalitha at the front desk was especially helpful on 3 different occasions - sorted out our booking, room, purchases, extended check-out. Was the best well spoken hotel person and helped make our stay even better.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
WolfAUT,Amazing stay...!!,"Dont wann say much... everything there speaks for itself. it was just amazing!  -ambience, cleanliness and appearence of the hotel itself are outstanding. -food is perfect... we loved the breakfast!!! Jason always took care of us so well!! they even have ""real"" coffee and dont charge extra (like ALL other hotels do)...which shows their ambition -a gym equipped with dumbells, barbells, actual weights... rowers, treads etc... AND jacuzzi/sauna/steam  after our stay, we will definitely use colombo and The Kingsbury as our hub when travelling further east... if i could, i would rate it 11 out of 10",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Gillian R,exceptional Colombo hotel,"Breakfast was exceptional and extraordinary - never seen so much choice - western and sri lankan food - waffle/pancake plus Hopper/omelette stations.  Swimming pool was marvellous - long opening hours, large and generally empty.  Check in and out very efficient.  Staff very helpful and knowledgeable.  The location is very central and facilities are of a very high standard. My room was not large but very well appointed with everything required and most importantly very clean with a super comfortable bed and choice of pillows.  Treated like royalty even though I turned up completely dishevelled after a 10 hour train journey",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Skamath,Need to improve on service..,"Staying here for 3 nights from 22nd Feb, to start with Pros: nice location( now partially compromised due to port city construction) to walk near Galle face green, good quality bed..  Cons:1. booked a superior OCEAN view room, was particularl on this and paid extra online. At reception, checked in at around 4pm, and front desk Mr. Ishaack gave us another non sea facing room, saying it is better category. But when we book and pay for ocean view, we expect that or they should not advertise the same. As many other hotels can offer same. 2. First day at breakfast, we were impressed by spread and some nice masala tea, Second day at breakfast found service poor, menu same, but when asked for masala tea again.. the waiter made us wait for more than 15 to 20 min, and at end we went",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
tuan miskin,Lunch@stakebar,"One a gain here we came to take lunch @ stake bar one of the best fine dining in the town.we had beef steaks it was a best stake I aver  had .the cocktail was superb sensation felver thanks to the service crew Denver,sanuja,fateen,and the manager viran will see you soon again thanks very much. Keep doing the good job.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Kanishka W,Dinner at Harbour Court,Harbour Court arguably has the best buffet spread. Hosted five guests for dinner on 23rd of February and the food was amazing as always. Jason who attended to us at the restaurant was extremely attentive and was very service orientated which made our experience even better.,Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Kumar,"Great location, excellent service","Had a wonderful stay in Kingsbury Hotel. Was on a business trip and stayed on the executive floor. Excellent service and hospitality, many thanks to Diego and Viloka for making my stay wonderful and pleasant. Would surely return to this hotel again.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Keerthi W,Need Trained staff,Stayed for 3 nites in Dec.unorganized and untrained front office.First time staying here after complete refurbishment.Overall service standards needs to be improved. Breakfast buffet was good.Room amenities excellent.,Date of stay: December 2019,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Dave L,End of our 4 month travels around Asia,"We have stayed in 5* hotels all over Asia and I can honestly say this one had been the best  We are staying in room 302 which is lovely and the housekeeping is exceptional  The breakfast is the phenomenal what a choice, you couldn’t ask for more. We have eaten in all the restaurants the food, the service, and staff are amazing  We could name the staff, but to be honest all the staff are fantastic and it wouldn’t be fair",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Veronica,Habur court,"Here is my regular place. I usually go with my family and sometimes with friends. Most people around me love this place~ It's a huge dining area which offers an excellent selection. Amazingly, so~ tasty. The hotel has a morden ambience. you can enjoy the food with a beautiful music. Service has been friendly on every visit!! extremely accommodating and attentive. I really appreciate all  staffs. especially Buddika and sujith. Harbor court is highly recommended for the best place in Colombo",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
AIreshaK,Nice but would’ve been better,"It was my Third stay within last 6 months and Happy to see Dheeraka from the Reception and Dilshan from the F&B still remembers me. Dheeraka was a lovely young gentleman in the frontline who tried to assist me at his best, unfortunately the housekeeping team did not amazed me this time as they used to do. Few troubles due to cleanliness in the room, no towels, minibar issues etc. So the first day was literally ruined.   However, we were moved to a better room in the midnight by the manager on duty and he arranged all our needs since then!  I must say, the newly renovated main restaurant looks stunning with a huge spreader breakfast buffet. Complements to the chef and his team!    P.S.  Note to the Management : at some point the team explained that the hotel is running out of the",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
tis_12,A great city hotel with a very good offer.,"The Kingsbury is a great hotel that offers a variety of amenities. The bed was very pleasant, the windows well soundproofed and the room very clean. The very friendly staff especially Mr. Madurunga, Mr. Kasun and Mr. Buddika tried very hard to fulfill our wishes.  The quality of the services and the very good value for money rightly deserve the best rating.  Breakfast is first class both in depth and breadth.  We would be happy to recommend this hotel.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Maryzse Mylvaganam,Dinner At The Harbour Room,"We enjoyed a lovely evening with my Family on Sunday for dinner and enjoyed ourselves very much.  There was an endless amount of various different types of deliciously prepared dishes, it was difficult to eat everything 🤭☺😊 We want to say a BIG THANK YOU TO JASON THE YOUNG STEWARD WHO SERVED US..... HE WAS EXTREMELY HELPFUL AND ATTENTIVE TO ALL OUR NEEDS. THANK YOU FOR A LOVELY EVENING!!!  THANK YOU ALL WHO WORK SO TIRELESSLY TO MAKE IT PLEASURABLE EVENING.   We definitely will be back.  Wishing You God's Blessings! Maryzse Mylvaganam.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
RJ MD,"Great location, great facilities and great service","The Kingsbury has all the features you'd expect of a good 5 star hotel, and the rooftop bar, long pool suitable for serious swimmers as well as splashing around, great local breakfast options at the buffet and a superb Chinese restaurant. It goes without saying that the location is absolutely top notch.   I was particularly impressed by the service; due to unforeseen circumstances my wife and I needed to make a number of changes to our booking, all of which were dealt with seamlessly by the friendly and helpful front desk team. Thanks in particular to guest relations manager Fayaz for making our stay so pleasant.",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
k1k2ching,Dinner @ Kingsbury,"The buffet restaurant was good and a varied selection offered however found that the service of dumplings and the chocolates were controlled. For what?? The price one pays should cover it all, shouldn't it? Service staff should not only recommend the higher priced and imported drinks from the list when asked for their recommendations. A well presented restaurant and nice ambience.",Date of stay: January 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Chenee C,Lunch,Very good service. I love the selection of buffet.  Friendly guest and nice ambiance. Love to go back here. Thank you to jani for accompanying us. The staff are also attentive. The place is huge and spacious. Great hotel.,Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
Ramasubramanian M,best property in Colombo,"room is excellent worth for our money. staff or very good and very friendly, i enjoy in executive lounge Miss. Shivangi and Mr. Mohamed or very friendly in executive lounge. this property worth for your money business trip or family trip thank you guys",Date of stay: February 2020,,"{'name': ['None'], 'type': ['OTHER']}",-0.2,0.2
BhavnaSharma,Memorable stay at the hotel,"We had superb stay at the Kingsbury Hotel. Fayaz, Asst Manager and very courteous staff made our stay memorable. Worth staying at the hotel. Huge spread of breakfast menu, luxurious rooms and superb location.",Date of stay: February 2020,"We had superb stay at the Kingsbury Hotel. Fayaz, Asst Manager and very courteous staff made our stay memorable. Worth staying at the hotel. Huge spread of breakfast menu, luxurious rooms and superb location.","{'name': ['stay', 'Kingsbury Hotel', 'staying', 'staff', 'Asst Manager', 'Fayaz', 'rooms', 'breakfast menu', 'location', 'hotel', 'spread'], 'type': ['EVENT', 'LOCATION', 'OTHER', 'PERSON', 'PERSON', 'PERSON', 'LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'EVENT']}",0.8,3.5
anne h,Great experience after backpacking,"Nice facilities. Only complaint would be that the service at the restaurant was a bit too attentive. My conversation with my partner was interrupted by several waiters asking if we wanted coffee or something else. This doesn't sound like much, but the experience was similar to tuktuk drivers offering a tuktuk ride nonstop.",Date of stay: February 2020,"Nice facilities. Only complaint would be that the service at the restaurant was a bit too attentive. My conversation with my partner was interrupted by several waiters asking if we wanted coffee or something else. This doesn't sound like much, but the experience was similar to tuktuk drivers offering a tuktuk ride nonstop.","{'name': ['facilities', 'complaint', 'service', 'restaurant', 'partner', 'waiters', 'bit', 'conversation', 'coffee', 'something', 'experience', 'tuktuk drivers', 'tuktuk ride'], 'type': ['LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'EVENT']}",0.0,1.9
Explorer305451,"Wonderful sevice by Hiras,","Me and my friend had a dinner at harbour court today. Its emazing, excellent food and very friendly stuff.My favourite buffet in town.wonderful service by Hiras and Kasun.keep up the good work. Hope to visit again soon.",Date of stay: February 2020,"Me and my friend had a dinner at harbour court today. Its emazing, excellent food and very friendly stuff.My favourite buffet in town.wonderful service by Hiras and Kasun.keep up the good work. Hope to visit again soon.","{'name': ['friend', 'dinner', 'harbour court', 'food', 'buffet', 'service', 'emazing', 'work', 'stuff.My', 'Hiras', 'Kasun.'], 'type': ['PERSON', 'EVENT', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'PERSON', 'PERSON']}",0.5,1.9
Janaka,Harbour court,"Dinner at harbour court is amazing, the ambience is here is nice ,wide variety of food and dessert is available, food is delicious. Jason one of the staff member was very helpful with a smiling face and friendly.",Date of stay: February 2020,"Dinner at harbour court is amazing, the ambience is here is nice ,wide variety of food and dessert is available, food is delicious. Jason one of the staff member was very helpful with a smiling face and friendly.","{'name': ['Dinner', 'harbour court', 'ambience', 'food', 'variety', 'food', 'dessert', 'face', 'Jason one', 'staff member', 'one'], 'type': ['OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'PERSON', 'NUMBER']}",0.9,1.8
Kamal S,Harbour court,We had dinner at harbour court very amazing buffet and service special thanks goes to manager prashanthan and sujith they look after very well we were enjoyed our dinner here will come soon keep it your good work always,Date of stay: February 2020,We had dinner at harbour court very amazing buffet and service special thanks goes to manager prashanthan and sujith they look after very well we were enjoyed our dinner here will come soon keep it your good work always,"{'name': ['dinner', 'dinner', 'thanks', 'buffet', 'harbour court', 'sujith', 'manager prashanthan', 'work'], 'type': ['EVENT', 'EVENT', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER']}",0.9,0.9
Nadda24,Fabulous service by Magana,Came for drinks with friends and needed to sort out an issue and even though Magana didn't have to she totally stepped out and was fabulous! Thank you so much Megana! We are already regulars here and will continue to patronage Honey beach!,Date of stay: February 2020,Came for drinks with friends and needed to sort out an issue and even though Magana didn't have to she totally stepped out and was fabulous! Thank you so much Megana! We are already regulars here and will continue to patronage Honey beach!,"{'name': ['drinks', 'friends', 'issue', 'regulars', 'Magana', 'beach', 'Honey', 'Megana'], 'type': ['OTHER', 'PERSON', 'OTHER', 'PERSON', 'PERSON', 'LOCATION', 'WORK_OF_ART', 'OTHER']}",0.8,2.6
Nuwan12,Romantic evening at Harbor Court,"Myself and my fiancee made a reservation for dinner on valentine day at Harbor court, we should say we were blown away by the service and food provided on that day. Kudos to Kumindra and team. Nothing was too much trouble for them. They went out of their way to make our day special. Buddhika, maduranga and Nipuni were excellent. Their service was flawless. We would definetly comeback. Thanks for the memorable night Kumindra and team.",Date of stay: February 2020,"Myself and my fiancee made a reservation for dinner on valentine day at Harbor court, we should say we were blown away by the service and food provided on that day. Kudos to Kumindra and team. Nothing was too much trouble for them. They went out of their way to make our day special. Buddhika, maduranga and Nipuni were excellent. Their service was flawless. We would definetly comeback. Thanks for the memorable night Kumindra and team.","{'name': ['team', 'fiancee', 'reservation', 'dinner', 'Nothing', 'court', 'service', 'food', 'Kudos', 'way', 'service', 'comeback', 'Kumindra', 'Thanks', 'Kumindra', 'maduranga', 'Nipuni', 'Buddhika'], 'type': ['ORGANIZATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'PERSON', 'PERSON', 'PERSON']}",0.8,7.0
Vance,Excellent hotel services and staff,Fatten Farzan was exceptionally knowledgeable regarding local establishments in the area of the Kingsbury hotel. His service was excellent and timely sharing value information regarding cultural sensitivities which provide insight regarding local customs and attitudes.,Date of stay: February 2020,Fatten Farzan was exceptionally knowledgeable regarding local establishments in the area of the Kingsbury hotel. His service was excellent and timely sharing value information regarding cultural sensitivities which provide insight regarding local customs and attitudes.,"{'name': ['Farzan', 'sharing value information', 'establishments', 'sensitivities', 'hotel', 'area', 'Kingsbury', 'customs', 'insight', 'attitudes'], 'type': ['PERSON', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER']}",0.9,1.8
Randunu D,Dinner buffet,The best place for dinner buffet in the city with a wide variety of food. The staff is friendly and attentive. Very spacious and cozy atmosphere. Food variety includes all the meat varieties with BBQ as well.,Date of stay: February 2020,The best place for dinner buffet in the city with a wide variety of food. The staff is friendly and attentive. Very spacious and cozy atmosphere. Food variety includes all the meat varieties with BBQ as well.,"{'name': ['place', 'dinner buffet', 'city', 'variety', 'food', 'staff', 'meat varieties', 'BBQ', 'Food variety', 'atmosphere'], 'type': ['OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER']}",0.9,3.7
Lalini D,Stayed for 10 days and was absolutely amazing service,The restaurant staff and the kitchen staff were so friendly and attended to all our needs. The Houskeeping staff were also very friendly and paid attention to detail. Very different to our first experience 8 months ago. Will definitely stay there again,Date of stay: July 2019,The restaurant staff and the kitchen staff were so friendly and attended to all our needs. The Houskeeping staff were also very friendly and paid attention to detail. Very different to our first experience 8 months ago. Will definitely stay there again,"{'name': ['restaurant staff', 'kitchen staff', 'needs', 'detail', 'attention', 'experience', 'Houskeeping', 'staff', '8'], 'type': ['PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'PERSON', 'NUMBER']}",0.7,3.0
Shanaka A,Dinner,Great service and excellent choice of food options at the Harbours Court restaurant. The desert menu is something to checkout if you come in to dine here. Special thanks to Jani at the restaurant service team.,Date of stay: February 2020,Great service and excellent choice of food options at the Harbours Court restaurant. The desert menu is something to checkout if you come in to dine here. Special thanks to Jani at the restaurant service team.,"{'name': ['service', 'choice', 'desert menu', 'food options', 'restaurant', 'Harbours Court', 'checkout', 'thanks', 'restaurant service team', 'Jani'], 'type': ['OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'ORGANIZATION', 'OTHER', 'OTHER', 'ORGANIZATION', 'PERSON']}",0.8,2.5
Gisela Steinort,One of the best Hotels in Colomo,"Its the second time I visited the Kingsbury and I had the same wonderful experiences like two years ago. The room was phantastic, the Lobby, the Restaurant etc. But the best where the Staff, they where like Family to me  I have to name my favorite Ladies who where:  Nirisha Sachini Dinushi Sajani Beverly Sathsarani  also from the Lobby Sajaya  Fayas Prashanthan Umapathisivam from the Restaurant  All of them did a phantastic Job I will never forget and I really appreciated it. They made the hotel be like my home.  Thanks to all of them and I hope I can come again.  With best regards  Gisela Steinort",Date of stay: January 2020,"Its the second time I visited the Kingsbury and I had the same wonderful experiences like two years ago. The room was phantastic, the Lobby, the Restaurant etc. But the best where the Staff, they where like Family to me  I have to name my favorite Ladies who where:  Nirisha Sachini Dinushi Sajani Beverly Sathsarani  also from the Lobby Sajaya  Fayas Prashanthan Umapathisivam from the Restaurant  All of them did a phantastic Job I will never forget and I really appreciated it. They made the hotel be like my home.  Thanks to all of them and I hope I can come again.  With best regards  Gisela Steinort","{'name': ['Ladies', 'experiences', 'Kingsbury', 'best', 'room', 'Thanks', 'Lobby', 'Restaurant etc', 'Family', 'Staff', 'hotel', 'home', 'all', 'Restaurant All', 'Nirisha Sachini Dinushi Sajani Beverly Sathsarani', 'Lobby Sajaya Fayas Prashanthan Umapathisivam', 'regards', 'Job', 'Gisela Steinort', 'two'], 'type': ['PERSON', 'OTHER', 'PERSON', 'OTHER', 'LOCATION', 'OTHER', 'ORGANIZATION', 'LOCATION', 'PERSON', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'ORGANIZATION', 'PERSON', 'ORGANIZATION', 'OTHER', 'OTHER', 'PERSON', 'NUMBER']}",0.5,3.9
kavindu p,B day celebration,"Really awesome service have you guys thank u so much and food service and all things are brilliant  Once agin thx and we love to visit this place gain   Want to personally thx miss madushika , because she gave me awesome support to achieve my plan",Date of stay: February 2020,"Really awesome service have you guys thank u so much and food service and all things are brilliant  Once agin thx and we love to visit this place gain   Want to personally thx miss madushika , because she gave me awesome support to achieve my plan","{'name': ['service', 'place', 'food service', 'thx', 'things', 'plan', 'support', 'madushika', 'miss', 'Want'], 'type': ['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON']}",0.9,0.9
Ewa K,Beautiful hotel,"Stayed one night only on my way to the airport. Hotel is incredible! Clean hotel, staff very helpful and rooms pretty big and very clean. Bar area with the pool is a friendly place to relax. Food in a restaurant very good.",Date of stay: January 2020,"Stayed one night only on my way to the airport. Hotel is incredible! Clean hotel, staff very helpful and rooms pretty big and very clean. Bar area with the pool is a friendly place to relax. Food in a restaurant very good.","{'name': ['way', 'airport', 'Hotel', 'hotel', 'Bar area', 'rooms', 'staff', 'place', 'Food', 'restaurant', 'pool', 'one'], 'type': ['OTHER', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'NUMBER']}",0.7,3.8
Joseph,Kingsbury harbour court,Good food good service. Great thanks to thilanka and his colleague to serve us well. Helping us on the food and drinks. Ensuring if the food was good and that we needed help or feedback on the food. It was a total good experience here. Highly recommended.  Ps: it is affordable. 25 sgd (3300sri lanka rupees) per pax.,Date of stay: February 2020,Good food good service. Great thanks to thilanka and his colleague to serve us well. Helping us on the food and drinks. Ensuring if the food was good and that we needed help or feedback on the food. It was a total good experience here. Highly recommended.  Ps: it is affordable. 25 sgd (3300sri lanka rupees) per pax.,"{'name': ['thilanka', 'food', 'service', 'thanks', 'experience', 'food', 'colleague', 'food', 'food', 'drinks', 'feedback', 'help', '25 sgd', '3300sri lanka rupees', '25', '3300'], 'type': ['PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'PRICE', 'PRICE', 'NUMBER', 'NUMBER']}",0.6,5.7
